,Product Name,Product Price
186,Garnier Pure Active Micellar Cleansing Water.,"KSh 2,799"
187,Garnier Body Repair Body Lotion Dry Skin,"KSh 1,550"
188,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 3,500"
189,Garnier  Pure Active 3 In 1 Wash,"KSh 3,600"
190,Garnier Vitamin C Even And Matte Cleansing Foam - 100ml,"KSh 1,500"
191,Garnier Micellar Cleansing Water 400 Ml,"KSh 1,200"
192,Garnier  Ambre Solaire After Sun Soothing Moisturising Milk ,"KSh 1,500"
193,Garnier  Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,"KSh 2,600"
194,Garnier  Pure Active 3 In 1 Wash,"KSh 2,600"
195,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 2,800"
196,Garnier AHA +BHA CHARCOAL SERUM,"KSh 2,800"
197,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,600"
198,Garnier Even &Matte 12hr Oil Control Very Oily Skin Face Cream -40ml,"KSh 1,200"
199,Garnier  SkinActive Micellar Cleansing Water sensitive skin,"KSh 1,599"
200,Garnier Micellar Cleansing Water In Oil 400Ml,"KSh 1,600"
201,Garnier Matte And Even Gentle Cleansing Foam.,"KSh 1,500"
202,"Garnier Pure Active Sensitive Anti-Blemish Face Wash 150ml, Face Cleanser For Sensitive Skin, Wit","KSh 1,599"
203,Garnier  Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,500"
204,Garnier Pure Active  Clay (Mask Scrub Was) Oily Skin 150ml,"KSh 1,500"
205,Garnier Even & Matte Vitamin C boost serum 30ml,"KSh 1,200 - KSh 3,000"
206,Garnier Vitamin C Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,899"
207,Garnier Charcoal Serum 30ml,"KSh 2,888"
208,Garnier  AHA+BHA Charcoal Serum,"KSh 1,999"
209,Garnier Charcoal Mask BHA Pure Active 3in1 Anti Blackhead Wash Scrub Mask,"KSh 3,233"
210,Garnier Pure Active Charcoal Anti-Blackhead Peel-Off Mask,"KSh 1,899"
211,Garnier  Even & Matte Vitamin C Protection Cream 50ml,"KSh 2,300"
212,"Garnier Pure Active Intensive Charcoal 3 in 1 Wash,Scrub and Mask 150ml","KSh 1,850"
213,Garnier BRIGHT COMPLETE 30X VITAMIN BOOSTER SERUM 30 ML,"KSh 1,199"
214,Garnier Even & Matte Vitamin C Dark spot corrector 30ml,"KSh 1,200"
215,Charcoal Mask Garnier BHA Pure Active 3in1 Anti Blackhead Wash Scrub Mask,"KSh 2,695"
216,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 2,100"
217,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,900"
218,"Superfoods Garnier Body Superfood, Moisturising & Soothing Body Cream","KSh 3,500"
219,Garnier Pure Active 3 in 1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,"KSh 1,999"
220,Garnier Pure Active Acne Clearing Scrub,"KSh 1,660"
221,Garnier Even & Matte Protective Cream 50ml,"KSh 1,900"
222,L'Oréal Paris Garnier Body OIL Beauty,"KSh 1,800"
223,Garnier Mineral Women Even Extra Roll-on - 50ml,KSh 900
224,Garnier Color Naturals Fr/gb/ar 5 Ch Cl (Light Brown) - 110ml,KSh 650
225,Garnier Pure Active 3 in1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,KSh 999
